"the_geom","Group_Id","WorksiteNa","Address","Latitude","Longitude","City","Origin_Des","EmployerID","WorksiteID"
"POINT (-122.59108499999996 47.51001900000006)","8","Boeing Developmental Center","4243 Lakeview Dr SE, Port Orchard, WA 98366, USA","47.510019","-122.591085","Port Orchard","Origin","2013","57"
"POINT (-122.19762799999995 47.472568100000046)","31","Boeing Everett Plant","810 High Ave S, Renton, WA 98057, USA","47.4725681","-122.197628","Renton","Origin","2013","62"
"POINT (-122.33230859999998 47.66426180000008)","46","Microsoft - Bldg 36","Meridian Playground, 4649 Sunnyside Ave N, Seattle, WA 98103, USA","47.6642618","-122.3323086","Seattle","Origin","1024","4256"
"POINT (-122.38872349999997 47.57205150000004)","50","Seattle Children's Hospital- Main Campus","4400-4498 SW Spokane St, Seattle, WA 98116, USA","47.5720515","-122.3887235","Seattle","Origin","6133","315"
"POINT (-122.36846189999994 47.27615890000004)","147","Boeing Delivery Ctr.","1702 Pointe Woodworth Dr NE, Tacoma, WA 98422, USA","47.2761589","-122.3684619","Tacoma","Origin","2013","4057"
"POINT (-122.29777509999997 47.817409000000055)","156","Harborview Medical Center","200th St SW & 48th Ave W, Lynnwood, WA 98036, USA","47.817409","-122.2977751","Lynnwood","Origin","6010","495"
"POINT (-122.30515529999997 47.48386910000005)","166","Esterline/Korry Electronics - Beverly Park Rd Everett","13241 22nd Ave S, SeaTac, WA 98168, USA","47.4838691","-122.3051553","SeaTac","Origin","3021","4273"
"POINT (-122.33717109999998 47.46974860000006)","194","Virginia Mason Hospital & Clinic","Burien TC, 14900 4th Ave SW, Burien, WA 98166, USA","47.4697486","-122.3371711","Burien","Origin","6040","1042"
"POINT (-121.99149109999996 47.204178400000046)","258","Boeing Renton Plant","1352 Griffin Ave, Enumclaw, WA 98022, USA","47.2041784","-121.9914911","Enumclaw","Origin","2013","83"
"POINT (-122.26155039999998 47.85000700000006)","290","Harborview Medical Center","164th St SW & Ash Wy, Picnic Point-North Lynnwood, WA 98087, USA","47.850007","-122.2615504","Picnic Point-North Lynnwood","Origin","6010","495"
"POINT (-122.20238689999996 47.49252978000004)","335","Boeing Everett Plant","611 Park Ave N, Renton, WA 98057, USA","47.49252978","-122.2023869","Renton","Origin","2013","62"
