name,population
Aberdeen Gardens CDP,309
Aberdeen city,"17,088"
Acme CDP,223
Addy CDP,117
Ahtanum CDP,"3,777"
Airway Heights city,"11,245"
Albion town,495
Alder CDP,96
Alderton CDP,"2,706"
Alderwood Manor CDP,"10,266"
Alger CDP,687
Algona city,"3,247"
Allyn CDP,"2,404"
Almira town,360
Altoona CDP,43
Amanda Park CDP,86
Amboy CDP,"1,692"
Ames Lake CDP,"1,245"
Anacortes city,"17,966"
Anatone CDP,0
Anderson Island CDP,"1,448"
Arlington Heights CDP,"2,727"
Arlington city,"21,095"
Artondale CDP,"14,073"
Ashford CDP,319
Asotin city,"1,021"
Auburn city,"85,676"
Bainbridge Island city,"24,631"
Bangor Base CDP,"6,112"
Banks Lake South CDP,348
Barberton CDP,"8,668"
Baring CDP,177
Barney's Junction CDP,63
Barstow CDP,246
Basin City CDP,"1,176"
Battle Ground city,"21,886"
Bay Center CDP,206
Bay View CDP,572
Beacon Hill CDP,"1,804"
Beaux Arts Village town,233
Belfair CDP,"4,557"
Bell Hill CDP,"1,041"
Bellevue city,"151,847"
Bellingham city,"93,438"
Benton City city,"3,695"
Bethel CDP,"4,394"
Beverly CDP,356
Bickleton CDP,72
Big Lake CDP,"2,326"
Bingen city,652
Birch Bay CDP,"10,837"
Black Diamond city,"5,961"
Blaine city,"6,100"
Blyn CDP,134
Bonney Lake city,"22,090"
Bothell East CDP,"14,578"
Bothell West CDP,"22,029"
Bothell city,"49,610"
Boulevard Park CDP,"4,575"
Bow CDP,585
Boyds CDP,0
Brady CDP,832
Bremerton city,"44,830"
Brewster city,"1,653"
Bridgeport city,"1,792"
Brier city,"6,545"
Brinnon CDP,758
Browns Point CDP,979
Brush Prairie CDP,"2,526"
Bryant CDP,"2,648"
Bryn Mawr-Skyway CDP,"17,638"
Buckley city,"5,371"
Bucoda town,494
Buena CDP,791
Bunk Foss CDP,"3,627"
Burbank CDP,"3,589"
Burien city,"51,513"
Burley CDP,"2,443"
Burlington city,"10,003"
Camano CDP,"17,303"
Camas city,"27,007"
Canterwood CDP,"2,971"
Canyon Creek CDP,"3,910"
Carbonado town,704
Carlsborg CDP,"1,231"
Carnation city,"2,366"
Carson CDP,"2,318"
Cascade Valley CDP,"4,609"
Cashmere city,"3,304"
Castle Rock city,"2,217"
Cathcart CDP,"2,064"
Cathlamet town,616
Cavalero CDP,"1,591"
Centerville CDP,75
Central Park CDP,"3,206"
Centralia city,"18,830"
Chain Lake CDP,"4,950"
Chehalis city,"7,587"
Chelan Falls CDP,233
Chelan city,"4,350"
Cheney city,"12,804"
Cherry Grove CDP,779
Chewelah city,"2,606"
Chico CDP,"3,336"
Chinook CDP,541
Clallam Bay CDP,602
Clarkston Heights-Vineland CDP,"7,884"
Clarkston city,"7,191"
Clayton CDP,139
Cle Elum city,"1,905"
Clear Lake CDP,"1,271"
Clear Lake CDP,"1,093"
Clearview CDP,"3,254"
Cliffdell CDP,157
Clinton CDP,"1,419"
Clover Creek CDP,"7,345"
Clyde Hill city,"3,119"
Cohassett Beach CDP,455
Colfax city,"2,708"
College Place city,"9,854"
Colton town,323
Colville city,"4,998"
Conconully town,182
Concrete town,833
Connell city,"5,054"
Conway CDP,46
Copalis Beach CDP,671
Cosmopolis city,"2,202"
Cottage Lake CDP,"22,518"
Cougar CDP,151
Coulee City town,439
Coulee Dam town,"1,595"
Country Homes CDP,"6,198"
Coupeville town,"1,980"
Covington city,"21,233"
Cowiche CDP,364
Crescent Bar CDP,271
Creston town,235
Crocker CDP,"1,254"
Curlew CDP,126
Curlew Lake CDP,533
Cusick town,133
Custer CDP,477
Dallesport CDP,"1,603"
Danville CDP,9
Darrington town,"1,412"
Dash Point CDP,889
Davenport city,"1,774"
Dayton city,"2,774"
Deep River CDP,147
Deer Park city,"4,791"
Deming CDP,568
Des Moines city,"32,823"
Desert Aire CDP,"2,788"
Disautel CDP,34
Dixie CDP,133
Dollars Corner CDP,638
Donald CDP,110
DuPont city,"9,931"
Duluth CDP,"1,656"
Duvall city,"8,526"
East Cathlamet CDP,934
East Port Orchard CDP,"4,725"
East Renton Highlands CDP,"12,582"
East Wenatchee city,"14,199"
Eastmont CDP,"23,721"
Easton CDP,647
Eatonville town,"2,850"
Edgewood city,"13,032"
Edison CDP,249
Edmonds city,"42,735"
Elbe CDP,0
Electric City city,820
Elk Plain CDP,"14,276"
Ellensburg city,"20,874"
Elma city,"3,483"
Elmer City town,332
Endicott town,425
Enetai CDP,"2,387"
Entiat city,"1,284"
Enumclaw city,"12,798"
Ephrata city,"8,560"
Erlands Point CDP,854
Eschbach CDP,181
Esperance CDP,"4,189"
Everett city,"111,845"
Everson city,"3,040"
Fairchild AFB CDP,"2,931"
Fairfield town,621
Fairwood CDP,"17,856"
Fairwood CDP,"10,674"
Fall City CDP,"1,618"
Farmington town,140
Federal Way city,"99,493"
Felida CDP,"10,841"
Fern Prairie CDP,"2,053"
Ferndale city,"15,999"
Fife Heights CDP,"1,446"
Fife city,"10,949"
Finley CDP,"5,634"
Fircrest city,"7,069"
Five Corners CDP,"21,194"
Fobes Hill CDP,"2,569"
Fords Prairie CDP,"1,823"
Forks city,"3,400"
Fort Lewis CDP,"15,167"
Four Lakes CDP,322
Fox Island CDP,"3,414"
Frederickson CDP,"25,383"
Freeland CDP,"1,548"
Friday Harbor town,"2,728"
Garfield town,475
Garrett CDP,"1,697"
Geneva CDP,"2,073"
George city,669
Gig Harbor city,"12,424"
Glacier CDP,339
Gleed CDP,"2,844"
Glenwood CDP,190
Gold Bar city,"2,390"
Goldendale city,"3,483"
Gorst CDP,550
Graham CDP,"35,079"
Grand Coulee city,913
